Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE,PTS,MIN,GP
Kenrich Williams,OKC,2.72,0.89,1.82,EXTERNAL_JSON,6.0,16.0,7.0
Josh Hart,NYK,0.47,1.13,-0.66,EXTERNAL_JSON,12.4,29.6,23.0
Jaren Jackson Jr.,MEM,-0.25,-1.69,1.44,EXTERNAL_JSON,17.0,29.3,22.0
Amen Thompson,HOU,3.88,1.32,2.56,EXTERNAL_JSON,17.5,36.2,22.0
Dwight Powell,DAL,0.91,0.76,0.14,EXTERNAL_JSON,2.4,10.9,20.0
Jalen Duren,DET,0.88,1.18,-0.31,EXTERNAL_JSON,18.8,29.2,21.0
Derrick Jones Jr.,LAC,0.55,-0.79,1.34,EXTERNAL_JSON,10.5,24.9,13.0
Ty Jerome,MEM,1.62,1.87,-0.26,EXTERNAL_JSON,,,
Collin Gillespie,PHX,0.54,0.85,-0.32,EXTERNAL_JSON,13.1,27.1,25.0
Josh Okogie,HOU,1.17,0.62,0.54,EXTERNAL_JSON,6.6,20.9,22.0
Herbert Jones,NOP,3.13,0.63,2.5,EXTERNAL_JSON,9.6,29.1,18.0
Day'Ron Sharpe,BKN,1.59,0.2,1.39,EXTERNAL_JSON,7.0,16.2,22.0
Scotty Pippen Jr.,MEM,-0.84,-1.48,0.64,EXTERNAL_JSON,,,
Lauri Markkanen,UTA,2.29,2.38,-0.09,EXTERNAL_JSON,27.6,35.1,22.0
Kevin Porter Jr.,MIL,-1.05,-0.93,-0.12,EXTERNAL_JSON,21.3,29.3,7.0
Christian Braun,DEN,1.83,0.13,1.7,EXTERNAL_JSON,11.4,29.6,11.0
Jordan Walsh,BOS,1.22,1.43,-0.22,EXTERNAL_JSON,7.7,21.5,21.0
Kristaps Porzingis,ATL,0.61,0.98,-0.38,EXTERNAL_JSON,,,
Darius Garland,CLE,-0.67,0.91,-1.58,EXTERNAL_JSON,14.0,28.3,9.0
Julius Randle,MIN,1.6,2.17,-0.57,EXTERNAL_JSON,22.9,33.7,24.0
Donte DiVincenzo,MIN,0.28,1.12,-0.83,EXTERNAL_JSON,13.2,31.1,24.0
